iter	Passed	Remaining
0	49	49110
1	49	24823
2	50	16775
3	51	12736
4	51	10317
5	53	8818
6	53	7652
7	54	6775
8	55	6093
9	56	5554
10	56	5119
11	57	4753
12	58	4435
13	59	4160
14	59	3924
15	60	3715
16	61	3532
17	61	3367
18	62	3242
19	63	3131
20	65	3030
21	65	2920
22	66	2821
23	67	2728
24	67	2643
25	68	2563
26	69	2489
27	69	2420
28	70	2356
29	71	2297
30	71	2244
31	72	2195
32	73	2160
33	74	2127
34	75	2082
35	76	2038
36	76	1998
37	77	1960
38	78	1923
39	78	1890
40	79	1857
41	80	1826
42	80	1795
43	81	1776
44	82	1749
45	83	1722
46	83	1696
47	84	1672
48	84	1649
49	85	1627
50	86	1605
51	86	1584
52	87	1564
53	88	1545
54	88	1526
55	89	1508
56	90	1490
57	90	1473
58	91	1464
59	92	1456
60	94	1448
61	95	1439
62	96	1431
63	97	1422
64	98	1413
65	99	1403
66	100	1393
67	100	1384
68	101	1374
69	102	1366
70	103	1358
71	104	1348
72	105	1335
73	105	1322
74	106	1309
75	106	1296
76	107	1283
77	107	1271
78	108	1259
79	108	1250
80	109	1238
81	109	1228
82	109	1215
83	110	1203
84	110	1192
85	111	1182
86	111	1171
87	111	1160
88	112	1150
89	112	1139
90	113	1129
91	113	1119
92	113	1110
93	114	1100
94	114	1092
95	115	1083
96	115	1074
97	115	1065
98	116	1056
99	116	1048
100	116	1039
101	117	1031
102	117	1023
103	117	1015
104	118	1007
105	118	1000
106	118	992
107	119	984
108	120	981
109	120	974
110	120	966
111	121	959
112	121	953
113	121	946
114	122	940
115	122	934
116	122	927
117	123	921
118	123	915
119	123	909
120	124	902
121	124	896
122	124	890
123	125	884
124	125	878
125	125	872
126	126	866
127	126	860
128	126	855
129	127	850
130	127	844
131	127	839
132	127	833
133	128	828
134	128	822
135	128	817
136	129	812
137	129	807
138	129	802
139	129	797
140	130	793
141	130	787
142	130	783
143	131	778
144	131	774
145	131	770
146	131	765
147	132	761
148	132	757
149	132	753
150	133	749
151	133	745
152	133	741
153	134	737
154	134	733
155	134	729
156	135	725
157	135	721
158	135	718
159	136	714
160	136	710
161	136	706
162	136	702
163	137	699
164	137	695
165	137	692
166	138	688
167	138	685
168	138	682
169	138	678
170	139	675
171	139	671
172	139	668
173	140	665
174	140	662
175	140	659
176	141	656
177	141	653
178	141	650
179	142	647
180	142	643
181	142	641
182	142	638
183	143	635
184	143	632
185	143	629
186	144	626
187	144	623
188	144	620
189	145	618
190	145	615
191	145	613
192	146	610
193	146	608
194	146	605
195	146	602
196	147	600
197	147	597
198	148	595
199	148	593
200	148	590
201	148	588
202	149	585
203	149	583
204	149	581
205	150	579
206	150	577
207	151	575
208	151	573
209	151	570
210	152	568
211	152	566
212	152	564
213	153	562
214	153	559
215	153	557
216	153	555
217	154	553
218	154	550
219	154	548
220	155	546
221	155	544
222	155	542
223	156	540
224	156	538
225	156	536
226	156	534
227	157	532
228	157	530
229	157	528
230	158	526
231	158	524
232	158	523
233	159	521
234	159	519
235	159	517
236	160	515
237	160	513
238	160	511
239	161	509
240	161	508
241	161	506
242	161	504
243	162	502
244	162	501
245	162	499
246	163	498
247	163	496
248	164	494
249	164	492
250	164	491
251	164	489
252	165	487
253	165	485
254	165	484
255	166	482
256	166	481
257	166	479
258	167	478
259	167	476
260	167	474
261	168	473
262	168	471
263	168	470
264	168	468
265	169	466
266	169	465
267	169	463
268	170	462
269	170	460
270	170	459
271	170	457
272	171	456
273	171	454
274	171	453
275	172	451
276	172	450
277	173	451
278	174	450
279	174	448
280	174	447
281	175	446
282	175	444
283	175	443
284	176	441
285	176	440
286	176	438
287	177	437
288	177	436
289	177	435
290	178	433
291	178	432
292	178	431
293	179	429
294	179	428
295	179	427
296	179	426
297	180	424
298	180	423
299	180	422
300	181	421
301	181	420
302	182	418
303	182	417
304	182	416
305	183	415
306	183	414
307	183	412
308	184	411
309	184	410
310	184	409
311	185	408
312	185	406
313	185	405
314	185	404
315	186	403
316	186	401
317	186	400
318	187	399
319	187	398
320	187	397
321	188	396
322	188	394
323	188	393
324	189	392
325	189	391
326	189	390
327	190	389
328	190	388
329	190	386
330	190	385
331	191	384
332	191	383
333	191	382
334	192	381
335	192	380
336	192	379
337	193	378
338	193	377
339	193	375
340	194	374
341	194	373
342	194	372
343	194	371
344	195	370
345	195	370
346	196	369
347	196	368
348	196	367
349	197	366
350	197	365
351	198	364
352	198	363
353	198	362
354	198	361
355	199	360
356	199	359
357	199	358
358	200	357
359	200	356
360	200	355
361	201	354
362	201	353
363	201	352
364	202	352
365	202	351
366	203	350
367	203	349
368	203	348
369	203	347
370	204	346
371	204	345
372	205	344
373	205	343
374	205	342
375	205	341
376	206	340
377	206	339
378	206	339
379	207	338
380	207	337
381	207	336
382	208	335
383	208	334
384	208	333
385	209	332
386	209	331
387	209	330
388	210	329
389	210	328
390	210	328
391	210	327
392	211	326
393	211	325
394	211	324
395	212	323
396	212	322
397	212	322
398	213	321
399	213	320
400	213	319
401	214	318
402	214	317
403	214	316
404	215	316
405	215	315
406	215	314
407	216	313
408	216	312
409	216	311
410	216	310
411	217	310
412	217	309
413	218	308
414	218	308
415	218	307
416	219	306
417	219	305
418	219	304
419	220	303
420	220	303
421	220	302
422	221	301
423	221	300
424	221	299
425	221	299
426	222	298
427	222	297
428	222	296
429	223	295
430	223	295
431	223	294
432	224	293
433	224	292
434	224	291
435	225	291
436	225	290
437	225	289
438	225	288
439	226	287
440	226	287
441	226	286
442	227	285
443	227	284
444	227	284
445	228	283
446	228	282
447	228	281
448	229	281
449	229	280
450	229	279
451	230	279
452	230	278
453	230	277
454	231	276
455	231	276
456	231	275
457	231	274
458	232	273
459	232	273
460	232	272
461	233	271
462	233	271
463	234	270
464	234	269
465	234	268
466	235	268
467	235	267
468	235	266
469	236	266
470	236	265
471	236	264
472	236	264
473	237	263
474	237	262
475	237	261
476	238	261
477	238	260
478	238	259
479	239	259
480	239	258
481	239	257
482	240	256
483	240	256
484	240	255
485	240	254
486	241	254
487	241	253
488	241	252
489	242	252
490	242	251
491	242	250
492	243	249
493	243	249
494	243	248
495	244	248
496	244	247
497	244	246
498	245	246
499	245	245
500	245	244
501	246	244
502	246	243
503	246	242
504	247	242
505	247	241
506	247	240
507	247	240
508	248	239
509	248	238
510	248	238
511	249	237
512	249	236
513	249	236
514	250	235
515	250	235
516	250	234
517	251	233
518	251	233
519	251	232
520	252	231
521	252	231
522	252	230
523	253	229
524	253	229
525	253	228
526	253	227
527	254	227
528	254	226
529	254	226
530	255	225
531	255	224
532	255	224
533	256	223
534	256	222
535	256	222
536	256	221
537	257	220
538	257	220
539	257	219
540	258	218
541	258	218
542	258	217
543	258	217
544	259	216
545	259	215
546	259	215
547	260	214
548	260	214
549	260	213
550	261	212
551	261	212
552	262	211
553	262	211
554	262	210
555	262	210
556	263	209
557	264	209
558	264	208
559	264	207
560	264	207
561	265	206
562	265	206
563	266	205
564	266	205
565	266	204
566	266	203
567	267	203
568	267	202
569	267	202
570	268	201
571	268	200
572	268	200
573	269	199
574	269	199
575	269	198
576	270	198
577	270	197
578	270	196
579	271	196
580	271	195
581	271	195
582	271	194
583	272	193
584	272	193
585	272	192
586	273	192
587	273	191
588	273	191
589	274	190
590	274	189
591	274	189
592	274	188
593	275	188
594	275	187
595	275	186
